taxa	lat	long	year	cases
HQ613402|034-KS|DRC|2008-12-31	-5.240951	21.41033	2008	32
HQ613403|M-M|DRC|2007-08-31	-5.240951	21.41033	2007	260
KC242791|Bonduni|DRC|1977-06	2.97329	19.349632	1977	1
KR063671|Yambuku-Mayinga|DRC|1976-10-01	2.825189	22.225477	1976	318
KC242792|Gabon|Gabon|1994-12-27	-0.183	12.2	1994	52
KC242793|1Eko|Gabon|1996-02	0.7498	13.1108	1996	37
KC242794|2Nza|Gabon|1996-10-27	-0.093729	11.949203	1996	60
KU182905|Kikwit-9510621|DRC|1995-05-04	-5.040142	18.816314	1995	315
KP271018|Lomela-Lokolia16|DRC|2014-08-20	-0.284184	20.884538	2014	69
MH733477|BIK009-Bikoro|DRC|2018-05-10	-0.731472	18.140101	2018	54
MH613311|Muembe.1|DRC|2017-05-07	3.363367	23.887317	2017	8
MK007330|18FHV090-Beni|DRC|2018-07-28	0.605095	29.309721	2018	3081
KC242800|Ilembe|Gabon|2002-02-23	0.700361	14.15494	2001	65
KF113529|Kelle_2|COG|2003-10	0.428506	14.696145	2003	35
KJ660347|Makona-Gueckedou-C07|Guinea|2014-03-20	8.617679	-10.06135	2013	28616
MBK228|Mbandaka|DRC|2020-06-01	0.5868642	18.2531232	2020	130
22MBK0001b|Mbandaka|DRC|2022-04-21	0.5868642	18.2531232	2022	5
